,Aggravated assault,Burglary,Counties/principal cities,Forcible rape,Larceny- theft,Larceny-theft,Larcenyâ€‘ theft,Motor vehicle theft,Murder and nonnegligent manslaughter,Population,Property crime,Rape 1,Robbery,Violent crime,counties,msa_label,msa_pop,year
2424,7845,9240,Total area actually reporting,,35183,,,2626,100,100,47049,878,2349,11172,"Includes Cannon, Cheatham, Davidson, Dickson, Hickman, Macon, Maury, Robertson, Rutherford, Smith, Sumner, Trousdale, Williamson, and Wilson Counties","Nashville-Davidsonâ€“Murfreesboroâ€“Franklin, TN M.S.A.",1823472,2015
2425,430.2,506.7,"Rate per 100,000 inhabitants",,1929.5,,,144,5.5,,2580.2,48.1,128.8,612.7,"Includes Cannon, Cheatham, Davidson, Dickson, Hickman, Macon, Maury, Robertson, Rutherford, Smith, Sumner, Trousdale, Williamson, and Wilson Counties","Nashville-Davidsonâ€“Murfreesboroâ€“Franklin, TN M.S.A.",1823472,2015
2426,83,204,City of New Bern,,894,,,29,2,30433,1127,3,28,116,"Includes Craven, Jones, and Pamlico Counties","New Bern, NC M.S.A.",127617,2015
2427,157,699,Total area actually reporting,,1606,,,76,7,91.1,2381,15,39,218,"Includes Craven, Jones, and Pamlico Counties","New Bern, NC M.S.A.",127617,2015
2428,171,766,Estimated total,,1739,,,85,7,100,2590,16,42,236,"Includes Craven, Jones, and Pamlico Counties","New Bern, NC M.S.A.",127617,2015
2429,134,600.2,"Rate per 100,000 inhabitants",,1362.7,,,66.6,5.5,,2029.5,12.5,32.9,184.9,"Includes Craven, Jones, and Pamlico Counties","New Bern, NC M.S.A.",127617,2015
2430,1666,2898,City of New Orleans,,9828,,,2517,164,393447,15243,409,1497,3736,"Includes Jefferson, Orleans, Plaquemines, St. Bernard, St. Charles, St. James, St. John the Baptist, and St. Tammany Parishes","New Orleans-Metairie, LA M.S.A.",1265042,2015
2431,3708,6470,Total area actually reporting,,26989,,,3750,204,96.6,37209,592,2100,6604,"Includes Jefferson, Orleans, Plaquemines, St. Bernard, St. Charles, St. James, St. John the Baptist, and St. Tammany Parishes","New Orleans-Metairie, LA M.S.A.",1265042,2015
2432,3827,6732,Estimated total,,27786,,,3815,206,100,38333,603,2125,6761,"Includes Jefferson, Orleans, Plaquemines, St. Bernard, St. Charles, St. James, St. John the Baptist, and St. Tammany Parishes","New Orleans-Metairie, LA M.S.A.",1265042,2015
2433,302.5,532.2,"Rate per 100,000 inhabitants",,2196.4,,,301.6,16.3,,3030.2,47.7,168,534.4,"Includes Jefferson, Orleans, Plaquemines, St. Bernard, St. Charles, St. James, St. John the Baptist, and St. Tammany Parishes","New Orleans-Metairie, LA M.S.A.",1265042,2015
2434,31,50,City of Niles,,222,,,17,0,11352,289,13,7,51,Includes Berrien County,"Niles-Benton Harbor, MI M.S.A.",154894,2015
2435,146,121,City of Benton Harbor,,265,,,16,3,10012,402,13,64,226,Includes Berrien County,"Niles-Benton Harbor, MI M.S.A.",154894,2015
2436,325,489,Total area actually reporting,,1793,,,103,8,90.3,2385,127,99,559,Includes Berrien County,"Niles-Benton Harbor, MI M.S.A.",154894,2015
2437,350,537,Estimated total,,2003,,,123,8,100,2663,134,106,598,Includes Berrien County,"Niles-Benton Harbor, MI M.S.A.",154894,2015
2438,226,346.7,"Rate per 100,000 inhabitants",,1293.1,,,79.4,5.2,,1719.2,86.5,68.4,386.1,Includes Berrien County,"Niles-Benton Harbor, MI M.S.A.",154894,2015
2439,63,164,City of North Port,,664,,,28,1,61148,856,24,13,101,Includes Manatee and Sarasota Counties,"North Port-Sarasota-Bradenton, FL M.S.A.",764515,2015
2440,212,417,City of Sarasota,,1798,,,111,5,54743,2326,28,112,357,Includes Manatee and Sarasota Counties,"North Port-Sarasota-Bradenton, FL M.S.A.",764515,2015
2441,241,397,City of Bradenton,,1543,,,95,6,53658,2035,27,60,334,Includes Manatee and Sarasota Counties,"North Port-Sarasota-Bradenton, FL M.S.A.",764515,2015
2442,28,87,City of Venice,,301,,,11,0,21980,399,4,3,35,Includes Manatee and Sarasota Counties,"North Port-Sarasota-Bradenton, FL M.S.A.",764515,2015
2443,2354,3689,Total area actually reporting,,13390,,,766,31,100,17845,309,491,3185,Includes Manatee and Sarasota Counties,"North Port-Sarasota-Bradenton, FL M.S.A.",764515,2015
2444,307.9,482.5,"Rate per 100,000 inhabitants",,1751.4,,,100.2,4.1,,2334.2,40.4,64.2,416.6,Includes Manatee and Sarasota Counties,"North Port-Sarasota-Bradenton, FL M.S.A.",764515,2015
2445,86,154,City of Norwich,,432,,,39,2,40085,625,11,28,127,Includes New London County,"Norwich-New London, CT M.S.A.",145491,2015
2446,106,138,City of New London,,431,,,71,4,27312,640,18,26,154,Includes New London County,"Norwich-New London, CT M.S.A.",145491,2015
2447,307,433,Total area actually reporting,,2374,,,161,6,100,2968,57,101,471,Includes New London County,"Norwich-New London, CT M.S.A.",145491,2015
2448,211,297.6,"Rate per 100,000 inhabitants",,1631.7,,,110.7,4.1,,2040,39.2,69.4,323.7,Includes New London County,"Norwich-New London, CT M.S.A.",145491,2015
2449,243,438,City of Ocala,,2507,,,89,3,57891,3034,24,108,378,Includes Marion County,"Ocala, FL M.S.A.",342895,2015
2450,919,1712,Total area actually reporting,,5088,,,333,10,99.5,7133,113,195,1237,Includes Marion County,"Ocala, FL M.S.A.",342895,2015
2451,924,1721,Estimated total,,5131,,,337,10,100,7189,114,197,1245,Includes Marion County,"Ocala, FL M.S.A.",342895,2015
2452,269.5,501.9,"Rate per 100,000 inhabitants",,1496.4,,,98.3,2.9,,2096.6,33.2,57.5,363.1,Includes Marion County,"Ocala, FL M.S.A.",342895,2015
2453,4,64,City of Ocean City2,,409,,,2,0,11296,475,2,4,10,Includes Cape May County2,"Ocean City, NJ M.S.A.2",94713,2015
2454,145,590,Total area actually reporting,,2470,,,55,1,100,3115,21,51,218,Includes Cape May County2,"Ocean City, NJ M.S.A.2",94713,2015
2455,153.1,622.9,"Rate per 100,000 inhabitants",,2607.9,,,58.1,1.1,,3288.9,22.2,53.8,230.2,Includes Cape May County2,"Ocean City, NJ M.S.A.2",94713,2015
2456,985,862,City of Odessa,,3192,,,487,10,118606,4541,72,161,1228,Includes Ector County,"Odessa, TX M.S.A.",158766,2015
2457,1398,1272,Total area actually reporting,,4664,,,786,12,100,6722,88,201,1699,Includes Ector County,"Odessa, TX M.S.A.",158766,2015
2458,880.5,801.2,"Rate per 100,000 inhabitants",,2937.7,,,495.1,7.6,,4233.9,55.4,126.6,1070.1,Includes Ector County,"Odessa, TX M.S.A.",158766,2015
2459,187,522,City of Ogden,,2923,,,302,4,84642,3747,112,85,388,"Includes Box Elder, Davis, Morgan, and Weber Counties","Ogden-Clearfield, UT M.S.A.2, 3",642719,2015
2460,22,100,City of Clearfield,,455,,,29,1,30557,584,10,8,41,"Includes Box Elder, Davis, Morgan, and Weber Counties","Ogden-Clearfield, UT M.S.A.2, 3",642719,2015
2461,465,1921,Total area actually reporting,,10208,,,854,15,95.3,12983,322,154,956,"Includes Box Elder, Davis, Morgan, and Weber Counties","Ogden-Clearfield, UT M.S.A.2, 3",642719,2015
2462,499,,Estimated total,,10812,,,935,15,100,,335,164,1013,"Includes Box Elder, Davis, Morgan, and Weber Counties","Ogden-Clearfield, UT M.S.A.2, 3",642719,2015
2463,77.6,,"Rate per 100,000 inhabitants",,1682.2,,,145.5,2.3,,,52.1,25.5,157.6,"Includes Box Elder, Davis, Morgan, and Weber Counties","Ogden-Clearfield, UT M.S.A.2, 3",642719,2015
2464,3083,5823,City of Oklahoma City,,16228,,,2897,73,630621,24948,480,1192,4828,"Includes Canadian, Cleveland, Grady, Lincoln, Logan, McClain, and Oklahoma Counties","Oklahoma City, OK M.S.A.",1358166,2015
2465,4014,9534,Total area actually reporting,,27807,,,4143,93,99.9,41484,712,1455,6274,"Includes Canadian, Cleveland, Grady, Lincoln, Logan, McClain, and Oklahoma Counties","Oklahoma City, OK M.S.A.",1358166,2015
2466,4015,9538,Estimated total,,27821,,,4145,93,100,41504,712,1455,6275,"Includes Canadian, Cleveland, Grady, Lincoln, Logan, McClain, and Oklahoma Counties","Oklahoma City, OK M.S.A.",1358166,2015
2467,295.6,702.3,"Rate per 100,000 inhabitants",,2048.4,,,305.2,6.8,,3055.9,52.4,107.1,462,"Includes Canadian, Cleveland, Grady, Lincoln, Logan, McClain, and Oklahoma Counties","Oklahoma City, OK M.S.A.",1358166,2015
2468,131,406,City of Olympia,,1692,,,211,0,49875,2309,26,46,203,Includes Thurston County,"Olympia-Tumwater, WA M.S.A.",270127,2015
2469,50,126,City of Tumwater,,605,,,58,0,19193,789,9,11,70,Includes Thurston County,"Olympia-Tumwater, WA M.S.A.",270127,2015
2470,433,1752,Total area actually reporting,,5432,,,657,3,100,7841,101,118,655,Includes Thurston County,"Olympia-Tumwater, WA M.S.A.",270127,2015
2471,160.3,648.6,"Rate per 100,000 inhabitants",,2010.9,,,243.2,1.1,,2902.7,37.4,43.7,242.5,Includes Thurston County,"Olympia-Tumwater, WA M.S.A.",270127,2015
2472,1452,2160,"City of Omaha, NE",,11558,,,2543,48,452252,16261,174,655,2329,"Includes Harrison, Mills, and Pottawattamie Counties, IA and Cass, Douglas, Sarpy, Saunders,2 and Washington Counties, NE","Omaha-Council Bluffs, NE-IA M.S.A.2",914414,2015
2473,69,327,"City of Council Bluffs, IA",,2910,,,298,1,62210,3535,40,50,160,"Includes Harrison, Mills, and Pottawattamie Counties, IA and Cass, Douglas, Sarpy, Saunders,2 and Washington Counties, NE","Omaha-Council Bluffs, NE-IA M.S.A.2",914414,2015
2474,1873,3296,Total area actually reporting,,17843,,,3246,50,99.9,24385,304,749,2976,"Includes Harrison, Mills, and Pottawattamie Counties, IA and Cass, Douglas, Sarpy, Saunders,2 and Washington Counties, NE","Omaha-Council Bluffs, NE-IA M.S.A.2",914414,2015
2475,1874,3298,Estimated total,,17856,,,3247,50,100,24401,304,749,2977,"Includes Harrison, Mills, and Pottawattamie Counties, IA and Cass, Douglas, Sarpy, Saunders,2 and Washington Counties, NE","Omaha-Council Bluffs, NE-IA M.S.A.2",914414,2015
2476,204.9,360.7,"Rate per 100,000 inhabitants",,1952.7,,,355.1,5.5,,2668.5,33.2,81.9,325.6,"Includes Harrison, Mills, and Pottawattamie Counties, IA and Cass, Douglas, Sarpy, Saunders,2 and Washington Counties, NE","Omaha-Council Bluffs, NE-IA M.S.A.2",914414,2015
2477,1789,3401,City of Orlando,,11567,,,1180,32,268438,16148,182,522,2525,"Includes Lake, Orange, Osceola, and Seminole Counties","Orlando-Kissimmee-Sanford, FL M.S.A.",2381954,2015
2478,316,605,City of Kissimmee,,1907,,,135,5,68583,2647,33,96,450,"Includes Lake, Orange, Osceola, and Seminole Counties","Orlando-Kissimmee-Sanford, FL M.S.A.",2381954,2015
2479,325,551,City of Sanford,,1939,,,159,4,58514,2649,41,111,481,"Includes Lake, Orange, Osceola, and Seminole Counties","Orlando-Kissimmee-Sanford, FL M.S.A.",2381954,2015
2480,8683,17332,Total area actually reporting,,51596,,,4979,121,99.9,73907,1178,2627,12609,"Includes Lake, Orange, Osceola, and Seminole Counties","Orlando-Kissimmee-Sanford, FL M.S.A.",2381954,2015
2481,8689,17344,Estimated total,,51651,,,4984,121,100,73979,1179,2629,12618,"Includes Lake, Orange, Osceola, and Seminole Counties","Orlando-Kissimmee-Sanford, FL M.S.A.",2381954,2015
2482,364.8,728.1,"Rate per 100,000 inhabitants",,2168.4,,,209.2,5.1,,3105.8,49.5,110.4,529.7,"Includes Lake, Orange, Osceola, and Seminole Counties","Orlando-Kissimmee-Sanford, FL M.S.A.",2381954,2015
2483,120,257,City of Oshkosh,,1188,,,45,1,66766,1490,6,30,157,Includes Winnebago County,"Oshkosh-Neenah, WI M.S.A.",170034,2015
2484,39,64,City of Neenah,,423,,,14,0,25946,501,5,3,47,Includes Winnebago County,"Oshkosh-Neenah, WI M.S.A.",170034,2015
2485,228,481,Total area actually reporting,,2287,,,95,4,100,2863,29,41,302,Includes Winnebago County,"Oshkosh-Neenah, WI M.S.A.",170034,2015
2486,134.1,282.9,"Rate per 100,000 inhabitants",,1345,,,55.9,2.4,,1683.8,17.1,24.1,177.6,Includes Winnebago County,"Oshkosh-Neenah, WI M.S.A.",170034,2015
2487,42,319,City of Owensboro,,1749,,,110,0,58608,2178,38,50,130,"Includes Daviess, Hancock, and McLean Counties","Owensboro, KY M.S.A.",116809,2015
2488,63,453,Total area actually reporting,,2041,,,137,0,100,2631,44,52,159,"Includes Daviess, Hancock, and McLean Counties","Owensboro, KY M.S.A.",116809,2015
2489,53.9,387.8,"Rate per 100,000 inhabitants",,1747.3,,,117.3,0,,2252.4,37.7,44.5,136.1,"Includes Daviess, Hancock, and McLean Counties","Owensboro, KY M.S.A.",116809,2015
2490,502,1103,City of Oxnard,,4758,,,835,12,207221,6696,21,385,920,Includes Ventura County,"Oxnard-Thousand Oaks-Ventura, CA M.S.A.",850712,2015
2491,87,234,City of Thousand Oaks,,1241,,,102,0,129976,1577,26,23,136,Includes Ventura County,"Oxnard-Thousand Oaks-Ventura, CA M.S.A.",850712,2015
2492,195,598,City of Ventura,,3042,,,260,2,110077,3900,53,124,374,Includes Ventura County,"Oxnard-Thousand Oaks-Ventura, CA M.S.A.",850712,2015
2493,66,217,City of Camarillo,,840,,,59,2,67325,1116,16,30,114,Includes Ventura County,"Oxnard-Thousand Oaks-Ventura, CA M.S.A.",850712,2015
2494,1264,3004,Total area actually reporting,,12596,,,1653,24,100,17253,208,679,2175,Includes Ventura County,"Oxnard-Thousand Oaks-Ventura, CA M.S.A.",850712,2015
2495,148.6,353.1,"Rate per 100,000 inhabitants",,1480.6,,,194.3,2.8,,2028.1,24.5,79.8,255.7,Includes Ventura County,"Oxnard-Thousand Oaks-Ventura, CA M.S.A.",850712,2015
2496,391,441,City of Palm Bay,,1483,,,136,4,106469,2060,51,62,508,Includes Brevard County,"Palm Bay-Melbourne-Titusville, FL M.S.A.",563089,2015
2497,517,512,City of Melbourne,,2488,,,150,5,79032,3150,62,134,718,Includes Brevard County,"Palm Bay-Melbourne-Titusville, FL M.S.A.",563089,2015
2498,285,385,City of Titusville,,1096,,,187,7,44752,1668,46,67,405,Includes Brevard County,"Palm Bay-Melbourne-Titusville, FL M.S.A.",563089,2015
2499,2177,2855,Total area actually reporting,,11131,,,970,24,100,14956,338,449,2988,Includes Brevard County,"Palm Bay-Melbourne-Titusville, FL M.S.A.",563089,2015
2500,386.6,507,"Rate per 100,000 inhabitants",,1976.8,,,172.3,4.3,,2656.1,60,79.7,530.6,Includes Brevard County,"Palm Bay-Melbourne-Titusville, FL M.S.A.",563089,2015
2501,249,355,City of Panama City,,1846,,,138,2,38217,2339,8,86,345,Includes Bay and Gulf Counties,"Panama City, FL M.S.A.",198511,2015
2502,776,1309,Total area actually reporting,,5466,,,385,10,100,7160,81,162,1029,Includes Bay and Gulf Counties,"Panama City, FL M.S.A.",198511,2015
2503,390.9,659.4,"Rate per 100,000 inhabitants",,2753.5,,,193.9,5,,3606.9,40.8,81.6,518.4,Includes Bay and Gulf Counties,"Panama City, FL M.S.A.",198511,2015
2504,46,320,City of Parkersburg,,676,,,64,2,30885,1060,13,10,71,Includes Wirt and Wood Counties,"Parkersburg-Vienna, WV M.S.A.",91653,2015
2505,6,69,City of Vienna,,138,,,0,0,10515,207,0,0,6,Includes Wirt and Wood Counties,"Parkersburg-Vienna, WV M.S.A.",91653,2015
2506,104,541,Total area actually reporting,,1110,,,93,3,100,1744,29,11,147,Includes Wirt and Wood Counties,"Parkersburg-Vienna, WV M.S.A.",91653,2015
2507,113.5,590.3,"Rate per 100,000 inhabitants",,1211.1,,,101.5,3.3,,1902.8,31.6,12,160.4,Includes Wirt and Wood Counties,"Parkersburg-Vienna, WV M.S.A.",91653,2015
2508,267,423,City of Pensacola,,1873,,,119,4,53331,2415,26,85,382,Includes Escambia and Santa Rosa Counties,"Pensacola-Ferry Pass-Brent, FL M.S.A.",482571,2015
2509,1749,3040,Total area actually reporting,,10417,,,737,28,100,14194,237,431,2445,Includes Escambia and Santa Rosa Counties,"Pensacola-Ferry Pass-Brent, FL M.S.A.",482571,2015
2510,362.4,630,"Rate per 100,000 inhabitants",,2158.6,,,152.7,5.8,,2941.3,49.1,89.3,506.7,Includes Escambia and Santa Rosa Counties,"Pensacola-Ferry Pass-Brent, FL M.S.A.",482571,2015
2511,384,1084,City of Peoria,,3224,,,140,14,116066,4448,64,310,772,"Includes Marshall, Peoria, Stark, Tazewell, and Woodford Counties","Peoria, IL M.S.A.",379402,2015
2512,795,1836,Total area actually reporting,,6017,,,259,17,95,8112,165,346,1323,"Includes Marshall, Peoria, Stark, Tazewell, and Woodford Counties","Peoria, IL M.S.A.",379402,2015
2513,817,1886,Estimated total,,6274,,,273,17,100,8433,170,355,1359,"Includes Marshall, Peoria, Stark, Tazewell, and Woodford Counties","Peoria, IL M.S.A.",379402,2015
2514,215.3,497.1,"Rate per 100,000 inhabitants",,1653.7,,,72,4.5,,2222.7,44.8,93.6,358.2,"Includes Marshall, Peoria, Stark, Tazewell, and Woodford Counties","Peoria, IL M.S.A.",379402,2015
2515,7765,8083,"City of Philadelphia, PA",,36228,,,5034,280,1567810,49345,1322,6765,16132,"Includes the Metropolitan Divisions of Camden, NJ; Montgomery County-Bucks County-Chester County, PA; Philadelphia, PA; and Wilmington, DE-MD-NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD M.S.A.2",6068228,2015
2516,733,690,"City of Wilmington, DE",,2174,,,339,27,72078,3203,47,424,1231,"Includes the Metropolitan Divisions of Camden, NJ; Montgomery County-Bucks County-Chester County, PA; Philadelphia, PA; and Wilmington, DE-MD-NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD M.S.A.2",6068228,2015
2517,14808,21957,Total area actually reporting,,102378,,,8849,450,99.9,133184,2134,10504,27896,"Includes the Metropolitan Divisions of Camden, NJ; Montgomery County-Bucks County-Chester County, PA; Philadelphia, PA; and Wilmington, DE-MD-NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD M.S.A.2",6068228,2015
2518,14813,21965,Estimated total,,102428,,,8851,450,100,133244,2134,10506,27903,"Includes the Metropolitan Divisions of Camden, NJ; Montgomery County-Bucks County-Chester County, PA; Philadelphia, PA; and Wilmington, DE-MD-NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD M.S.A.2",6068228,2015
2519,244.1,362,"Rate per 100,000 inhabitants",,1687.9,,,145.9,7.4,,2195.8,35.2,173.1,459.8,"Includes the Metropolitan Divisions of Camden, NJ; Montgomery County-Bucks County-Chester County, PA; Philadelphia, PA; and Wilmington, DE-MD-NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD M.S.A.2",6068228,2015
2520,1953,5332,Total area actually reporting,,18788,,,1157,45,100,25277,228,1173,3399,"Includes Burlington, Camden, and Gloucester Counties2","Camden, NJ M.D.2",1249764,2015
2521,156.3,426.6,"Rate per 100,000 inhabitants",,1503.3,,,92.6,3.6,,2022.5,18.2,93.9,272,"Includes Burlington, Camden, and Gloucester Counties2","Camden, NJ M.D.2",1249764,2015
2522,1500,3431,Total area actually reporting,,23925,,,1034,30,99.9,28390,257,726,2513,"Includes Bucks, Chester, and Montgomery Counties","Montgomery County-Bucks County-Chester County, PA M.D.",1963276,2015
2523,1502,3434,Estimated total,,23944,,,1035,30,100,28413,257,727,2516,"Includes Bucks, Chester, and Montgomery Counties","Montgomery County-Bucks County-Chester County, PA M.D.",1963276,2015
2524,76.5,174.9,"Rate per 100,000 inhabitants",,1219.6,,,52.7,1.5,,1447.2,13.1,37,128.2,"Includes Bucks, Chester, and Montgomery Counties","Montgomery County-Bucks County-Chester County, PA M.D.",1963276,2015
2525,9118,9597,Total area actually reporting,,45013,,,5613,316,99.9,60223,1417,7500,18351,Includes Delaware and Philadelphia Counties,"Philadelphia, PA M.D.",2131568,2015
2526,9121,9602,Estimated total,,45044,,,5614,316,100,60260,1417,7501,18355,Includes Delaware and Philadelphia Counties,"Philadelphia, PA M.D.",2131568,2015
2527,427.9,450.5,"Rate per 100,000 inhabitants",,2113.2,,,263.4,14.8,,2827,66.5,351.9,861.1,Includes Delaware and Philadelphia Counties,"Philadelphia, PA M.D.",2131568,2015
2528,2237,3597,Total area actually reporting,,14652,,,1045,59,100,19294,232,1105,3633,"Includes New Castle County, DE; Cecil County, MD; and Salem County, NJ2","Wilmington, DE-MD-NJ M.D.2",723620,2015
2529,309.1,497.1,"Rate per 100,000 inhabitants",,2024.8,,,144.4,8.2,,2666.3,32.1,152.7,502.1,"Includes New Castle County, DE; Cecil County, MD; and Salem County, NJ2","Wilmington, DE-MD-NJ M.D.2",723620,2015
2530,5113,12798,City of Phoenix,,34288,,,7370,112,1559744,54456,1016,3020,9261,Includes Maricopa and Pinal Counties,"Phoenix-Mesa-Scottsdale, AZ M.S.A.",4571032,2015
2531,1307,2219,City of Mesa,,8861,,,825,16,471034,11905,241,408,1972,Includes Maricopa and Pinal Counties,"Phoenix-Mesa-Scottsdale, AZ M.S.A.",4571032,2015
2532,222,829,City of Scottsdale,,4311,,,192,6,233872,5332,106,100,434,Includes Maricopa and Pinal Counties,"Phoenix-Mesa-Scottsdale, AZ M.S.A.",4571032,2015
2533,430,1108,City of Tempe,,6175,,,359,7,175556,7642,101,183,721,Includes Maricopa and Pinal Counties,"Phoenix-Mesa-Scottsdale, AZ M.S.A.",4571032,2015
2534,10846,26116,Total area actually reporting,,90636,,,12262,205,99.9,129014,1966,4731,17748,Includes Maricopa and Pinal Counties,"Phoenix-Mesa-Scottsdale, AZ M.S.A.",4571032,2015
2535,10851,26129,Estimated total,,90699,,,12267,205,100,129095,1967,4733,17756,Includes Maricopa and Pinal Counties,"Phoenix-Mesa-Scottsdale, AZ M.S.A.",4571032,2015
2536,237.4,571.6,"Rate per 100,000 inhabitants",,1984.2,,,268.4,4.5,,2824.2,43,103.5,388.4,Includes Maricopa and Pinal Counties,"Phoenix-Mesa-Scottsdale, AZ M.S.A.",4571032,2015
2537,423,921,City of Pine Bluff,,1679,,,167,10,44466,2767,32,104,569,"Includes Cleveland, Jefferson, and Lincoln Counties","Pine Bluff, AR M.S.A",93426,2015
2538,524,1176,Total area actually reporting,,2147,,,216,12,100,3539,50,109,695,"Includes Cleveland, Jefferson, and Lincoln Counties","Pine Bluff, AR M.S.A",93426,2015
2539,560.9,1258.8,"Rate per 100,000 inhabitants",,2298.1,,,231.2,12.8,,3788,53.5,116.7,743.9,"Includes Cleveland, Jefferson, and Lincoln Counties","Pine Bluff, AR M.S.A",93426,2015
2540,1170,2197,City of Pittsburgh,,7097,,,601,57,306870,9895,82,858,2167,"Includes Allegheny, Armstrong, Beaver, Butler, Fayette, Washington, and Westmoreland Counties","Pittsburgh, PA M.S.A.",2355032,2015
2541,3909,7500,Total area actually reporting,,32249,,,1685,109,98.5,41434,409,1783,6210,"Includes Allegheny, Armstrong, Beaver, Butler, Fayette, Washington, and Westmoreland Counties","Pittsburgh, PA M.S.A.",2355032,2015
2542,3948,7573,Estimated total,,32712,,,1703,110,100,41988,414,1799,6271,"Includes Allegheny, Armstrong, Beaver, Butler, Fayette, Washington, and Westmoreland Counties","Pittsburgh, PA M.S.A.",2355032,2015
2543,167.6,321.6,"Rate per 100,000 inhabitants",,1389,,,72.3,4.7,,1782.9,17.6,76.4,266.3,"Includes Allegheny, Armstrong, Beaver, Butler, Fayette, Washington, and Westmoreland Counties","Pittsburgh, PA M.S.A.",2355032,2015
2544,208,414,City of Pittsfield,,807,,,49,4,43450,1270,38,34,284,Includes Berkshire County,"Pittsfield, MA M.S.A.",128122,2015
2545,427,690,Total area actually reporting,,1589,,,83,4,89.5,2362,67,48,546,Includes Berkshire County,"Pittsfield, MA M.S.A.",128122,2015
2546,459,729,Estimated total,,1741,,,97,4,100,2567,71,55,589,Includes Berkshire County,"Pittsfield, MA M.S.A.",128122,2015
2547,358.3,569,"Rate per 100,000 inhabitants",,1358.9,,,75.7,3.1,,2003.6,55.4,42.9,459.7,Includes Berkshire County,"Pittsfield, MA M.S.A.",128122,2015
2548,169,344,City of Pocatello,,1183,,,103,1,54272,1630,21,6,197,Includes Bannock County,"Pocatello, ID M.S.A.",83624,2015
2549,187,389,Total area actually reporting,,1716,,,124,1,100,2229,26,7,221,Includes Bannock County,"Pocatello, ID M.S.A.",83624,2015
2550,223.6,465.2,"Rate per 100,000 inhabitants",,2052,,,148.3,1.2,,2665.5,31.1,8.4,264.3,Includes Bannock County,"Pocatello, ID M.S.A.",83624,2015
2551,81,266,City of Portland,,1687,,,69,2,66816,2022,33,99,215,"Includes Cumberland, Sagadahoc, and York Counties","Portland-South Portland, ME M.S.A.",525427,2015
2552,11,57,City of South Portland,,528,,,17,0,25540,602,9,4,24,"Includes Cumberland, Sagadahoc, and York Counties","Portland-South Portland, ME M.S.A.",525427,2015
2553,388,1712,Total area actually reporting,,7608,,,315,4,100,9635,128,187,707,"Includes Cumberland, Sagadahoc, and York Counties","Portland-South Portland, ME M.S.A.",525427,2015
2554,73.8,325.8,"Rate per 100,000 inhabitants",,1448,,,60,0.8,,1833.7,24.4,35.6,134.6,"Includes Cumberland, Sagadahoc, and York Counties","Portland-South Portland, ME M.S.A.",525427,2015
2555,211,392,City of Port St. Lucie,,1929,,,85,2,176364,2406,18,29,260,Includes Martin and St. Lucie Counties,"Port St. Lucie, FL M.S.A.",451710,2015
2556,905,1531,Total area actually reporting,,6385,,,399,14,100,8315,129,245,1293,Includes Martin and St. Lucie Counties,"Port St. Lucie, FL M.S.A.",451710,2015
2557,200.3,338.9,"Rate per 100,000 inhabitants",,1413.5,,,88.3,3.1,,1840.8,28.6,54.2,286.2,Includes Martin and St. Lucie Counties,"Port St. Lucie, FL M.S.A.",451710,2015
2558,109,140,City of Prescott,,884,,,37,4,41393,1061,11,13,137,Includes Yavapai County,"Prescott, AZ M.S.A.",221418,2015
2559,558,796,Total area actually reporting,,3460,,,252,9,100,4508,57,27,651,Includes Yavapai County,"Prescott, AZ M.S.A.",221418,2015
2560,252,359.5,"Rate per 100,000 inhabitants",,1562.7,,,113.8,4.1,,2036,25.7,12.2,294,Includes Yavapai County,"Prescott, AZ M.S.A.",221418,2015
2561,612,1282,"City of Providence, RI",,4256,,,546,15,179522,6084,109,282,1018,"Includes Bristol County, MA and Bristol, Kent, Newport, Providence, and Washington Counties RI","Providence-Warwick, RI-MA M.S.A.",1611989,2015
2562,32,174,"City of Warwick, RI",,1327,,,67,2,81854,1568,21,11,66,"Includes Bristol County, MA and Bristol, Kent, Newport, Providence, and Washington Counties RI","Providence-Warwick, RI-MA M.S.A.",1611989,2015
2563,3663,6211,Total area actually reporting,,21989,,,2054,35,100,30254,630,1052,5380,"Includes Bristol County, MA and Bristol, Kent, Newport, Providence, and Washington Counties RI","Providence-Warwick, RI-MA M.S.A.",1611989,2015
2564,227.2,385.3,"Rate per 100,000 inhabitants",,1364.1,,,127.4,2.2,,1876.8,39.1,65.3,333.7,"Includes Bristol County, MA and Bristol, Kent, Newport, Providence, and Washington Counties RI","Providence-Warwick, RI-MA M.S.A.",1611989,2015
2565,77,245,City of Provo,,1959,,,147,0,115294,2351,60,16,153,Includes Juab and Utah Counties,"Provo-Orem, UT M.S.A.",584130,2015
2566,17,196,City of Orem,,1784,,,123,1,92577,2103,8,14,40,Includes Juab and Utah Counties,"Provo-Orem, UT M.S.A.",584130,2015
2567,224,1099,Total area actually reporting,,7450,,,514,2,100,9063,147,46,419,Includes Juab and Utah Counties,"Provo-Orem, UT M.S.A.",584130,2015
